"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"25","RT @JagoHindu22: एशियन गेम्स में भारत ....

3 स्वर्ण
3कास्य
3रजत

पदक जीतकर छठे स्थान पर है, जबकि सूअर पाकिस्तान का top-20 में कोई स्थान न…",FALSE,0,NA,2018-09-11 01:25:00,FALSE,NA,"1039323894379945984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JagoHindu22",3,TRUE,FALSE,NA,NA
"26","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:58,FALSE,NA,"1039323884091146240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","awakenedbyJae",9729,TRUE,FALSE,NA,NA
"27","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:55,FALSE,NA,"1039323874238685185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fangkao_rin",9729,TRUE,FALSE,NA,NA
"28","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:24:55,FALSE,NA,"1039323870161907712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","windanions",12001,TRUE,FALSE,NA,NA
"29","RT @dgurjarofficial: Congratulations @bajrangpunia , Nation is looking proudly at you   for the first Gold at Asiangames.
Keep evolving and…",FALSE,0,NA,2018-09-11 01:24:52,FALSE,NA,"1039323859160186881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KotriRekha",17,TRUE,FALSE,NA,NA
"30","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:47,FALSE,NA,"1039323839526653953",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kkabbaekk",9729,TRUE,FALSE,NA,NA
"31","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:43,FALSE,NA,"1039323820622901248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eryykaaaash",9729,TRUE,FALSE,NA,NA
"32","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:34,FALSE,NA,"1039323783843045381",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","183cmhyuck",9729,TRUE,FALSE,NA,NA
"33","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:29,FALSE,NA,"1039323764784226304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","jara_ar",9729,TRUE,FALSE,NA,NA
"34","RT @dgurjarofficial: Medals in row!!!
Congratulations #Deepakkumar for shooting the silver medal at the #AsianGames2018 in the Men’s 10 M A…",FALSE,0,NA,2018-09-11 01:24:29,FALSE,NA,"1039323763307761665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KotriRekha",21,TRUE,FALSE,NA,NA
"35","RT @dgurjarofficial: ट्रैप शूटिंग में रजत पदक जीतने पर #Lakshay Sheoran को हार्दिक बधाई। आपने पूरे देश का सर गर्व से ऊंचा किया है। #AsianGa…",FALSE,0,NA,2018-09-11 01:24:25,FALSE,NA,"1039323746920673280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KotriRekha",30,TRUE,FALSE,NA,NA
"36","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:24:24,FALSE,NA,"1039323743632408582",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RiverronE",12001,TRUE,FALSE,NA,NA
"37","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:19,FALSE,NA,"1039323722115473408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","indahhwidyaa",9729,TRUE,FALSE,NA,NA
"38","RT @dgurjarofficial: .@Phogat_Vinesh द्वारा 50 किलोग्राम की श्रेणी की फ्रीस्टाइल कुश्ती में देश को दूसरा #Gold मेडल  दिलाने के लिए बधाई! 💐…",FALSE,0,NA,2018-09-11 01:24:18,FALSE,NA,"1039323716100882432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KotriRekha",21,TRUE,FALSE,NA,NA
"39","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:24:08,FALSE,NA,"1039323675449733120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ceyrasafa",12001,TRUE,FALSE,NA,NA
"40","RT @WeLoveChoiSiwon: After #AsianGames2018 @siwonchoi's posts about the performance/rehearsal on instagram both acquired over 1 million lik…",FALSE,0,NA,2018-09-11 01:24:04,FALSE,NA,"1039323659624570881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","woonrawrr",207,TRUE,FALSE,NA,NA
"41","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:01,FALSE,NA,"1039323647591235585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marisaagst",9729,TRUE,FALSE,NA,NA
"42","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:24:01,FALSE,NA,"1039323646039187456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pekokung",9729,TRUE,FALSE,NA,NA
"43","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:23:59,FALSE,NA,"1039323635473776640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kookaestaetic",12001,TRUE,FALSE,NA,NA
"44","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:23:58,FALSE,NA,"1039323633892515840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nikekoes",12001,TRUE,FALSE,NA,NA
"45","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:23:58,FALSE,NA,"1039323632277712896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","windanions",9729,TRUE,FALSE,NA,NA
"46","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:23:56,FALSE,NA,"1039323623406747649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RizkaD_R",12001,TRUE,FALSE,NA,NA
"47","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:23:55,FALSE,NA,"1039323621544488960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OKACHI_Ti",9729,TRUE,FALSE,NA,NA
"48","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:23:55,FALSE,NA,"1039323620957253632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ELFisHae_ky",12001,TRUE,FALSE,NA,NA
"49","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:23:52,FALSE,NA,"1039323609498443777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sitiharu95",12001,TRUE,FALSE,NA,NA
"50","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:23:51,FALSE,NA,"1039323602225512449",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tippy221136",12001,TRUE,FALSE,NA,NA
"51","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:23:47,FALSE,NA,"1039323587860094976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","overtheneo",12001,TRUE,FALSE,NA,NA
"52","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:23:47,FALSE,NA,"1039323586488500224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","agunggsutrisna",9729,TRUE,FALSE,NA,NA
"53","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:23:45,FALSE,NA,"1039323580335452160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","naifahapipa",9729,TRUE,FALSE,NA,NA
"54","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:23:42,FALSE,NA,"1039323564057317376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ieza_capz",12001,TRUE,FALSE,NA,NA
"55","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:23:41,FALSE,NA,"1039323562044055552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mmm_sj129",9729,TRUE,FALSE,NA,NA
"56","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:23:35,FALSE,NA,"1039323534923726848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aenyy0921",9729,TRUE,FALSE,NA,NA
"57","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:23:31,FALSE,NA,"1039323519618666496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","y_qyg",9729,TRUE,FALSE,NA,NA
"58","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:23:31,FALSE,NA,"1039323519446855681",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","urvijain6",12001,TRUE,FALSE,NA,NA
"59","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:23:30,FALSE,NA,"1039323515097206784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","youngie1003__",9729,TRUE,FALSE,NA,NA
"60","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:23:27,FALSE,NA,"1039323501864210432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","daviidwardna",12001,TRUE,FALSE,NA,NA
"61","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:23:27,FALSE,NA,"1039323501138718720",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","urvijain6",9729,TRUE,FALSE,NA,NA
"62","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:23:23,FALSE,NA,"1039323487188344832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","kartikakirana_",9729,TRUE,FALSE,NA,NA
"63","RT @shfly3424: Terima kasih. aku cinta kamu 💋@SJofficial 
-
#PresidentJokoWidodo #SUPERJUNIOR #AsianGames2018 #indonesia https://t.co/Zv7Py…",FALSE,0,NA,2018-09-11 01:23:23,FALSE,NA,"1039323485787410432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","petricyaaa6",9729,TRUE,FALSE,NA,NA
"64","RT @SJofficial: 인도네시아 #PresidentJokoWidodo 와 #SUPERJUNIOR 의 만남! 이날 조코 위도도 대통령은 슈퍼주니어의 ‘2018 아시안 게임 폐막식’ 피날레 무대에 대한 칭찬과 격려를 아끼지 않았습니다. 이런 게…",FALSE,0,NA,2018-09-11 01:23:19,FALSE,NA,"1039323468012179458",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_Ombres_",12001,TRUE,FALSE,NA,NA
